ID,VILLE,LIVRES,VACANCES,LIEUVIE,NBCOHAB,CHAMBRE,TRI,EMBALLAGE,RUE,PREOCCUP,SENTIMENTS,CANAL,PRATIQUES,INVESTI,PREF,TEL,SECMAIN,ACHAT,pays_recode,VOYAGE,MOYENALLER,MOYENLIEU,TRANSPORTS1,TRANSPORTS2,TRANSPORTS3,TRANSPORTS4,TRANSPORTS5,RAISON,ALTERNATIVE,ETAB,CLASSE,GENRE,POIDSCAL
2942,Non,entre 10 et 50 livres,1 fois,avec l'un de tes deux parents seulement,trois,Ça dépend,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,2,2,Les cours,3,"Non, tu n'es pas investi(e)",La réservation des repas à la cantine,Tu l'as donné à un proche,Aucun,Plus de trois,France,Vacances avec ta famille,Train (RER/TER/TGV…),Vélo,"Bus (dont microbus, Traverse, etc.)",Vélo personnel,À pied,,,Tu n'as pas le choix parce que c'est la seule solution,Tu ne sais pas ou tu ne souhaites pas répondre,Miriam Makeba,5ème,Garçon,1.4375
8604,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Non,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,3,1,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu as toujours ton premier téléphone,Plus de deux,Plus de trois,France,Vacances avec ta famille,Train (RER/TER/TGV…),Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",À pied,,,,Tu n'as pas le choix parce que c'est la seule solution,Tram,Hélène Boucher,1ère,Fille,2.69565217391305
2196,Non,plus de 50 livres,1 fois,avec l'un de tes deux parents seulement,+4,Ça dépend,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,2,3,3,La télévision,3,"Non, tu n'es pas investi(e)",NSPRF,Tu l'as toujours chez toi,NSPRF,Aucun,Afrique,Vacances avec ta famille,Avion,Avion,À pied,Métro / RER,Vélo personnel,Trottinette,,Aucune de ces réponses ne te correspond,Autre,Miriam Makeba,3ème,Fille,1.13513513513521
4419,Non,moins de 10 livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Non,on trie seulement le verre,tu cherches la poubelle la plus proche,3,NSPRF,NSPRF,Les réseaux sociaux,NSPRF,NSPRF,Le tri des déchets à la cantine,Tu l'as toujours chez toi,NSPRF,Deux,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",Métro / RER,À pied,,,C'est plus rapide,Tram,Henri Bergson,1ère,Fille,7.6153848266259
3939,Non,plus de 50 livres,3 fois ou plus,en partie chez l'un et chez l'autre,+4,Non,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,2,3,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as toujours chez toi,Plus de deux,Plus de trois,France,Colonie de vacances,Autocar/bus,Marche à pied,Métro / RER,À pied,Vélo personnel,"Bus (dont microbus, Traverse, etc.)",,C'est plus rapide,Vélo partagé (par exemple : Vélib),Hélène Boucher,Terminale,Fille,2.58426966292135
4159,Non,plus de 50 livres,Jamais,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,3,1,NSPRF,La radio,2,NSPRF,Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Un seul,Deux,France,Colonie de vacances,Train (RER/TER/TGV…),Autocar/bus,À pied,Trottinette,Vélo personnel,Vélo partagé (par exemple : Vélib),"Voiture, scooter, moto",Aucune de ces réponses ne te correspond,"Bus (dont microbus, Traverse, etc.)",Miriam Makeba,3ème,Garçon,1.22727272727274
1879,Oui,moins de 10 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,2,2,1,Les réseaux sociaux,3,"Oui, tu es investi(e)",Le tri des déchets à la cantine,Tu n'as pas de téléphone,Aucun,Plus de trois,Asie,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Trottinette,À pied,,,,C'est plus rapide,"Voiture, scooter, moto",Miriam Makeba,6ème,Garçon,1.14000000000006
9254,Non,moins de 10 livres,1 fois,avec tes deux parents dans le même logement,deux,Oui,on trie seulement le verre,tu cherches la poubelle la plus proche,3,1,2,Les conversations en famille,3,"Non, tu n'es pas investi(e)",NSPRF,Autre,Aucun,Aucun,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,,,,,C'est plus rapide,Vélo personnel,Miriam Makeba,4ème,Garçon,1.24489795918368
1179,Oui,pas de livres,Jamais,avec l'un de tes deux parents seulement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,2,3,Les réseaux sociaux,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Le tri des déchets à la cantine,Tu l'as donné à un proche,Aucun,Deux,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Marche à pied,À pied,,,,,Parce que ça te plaît,Trottinette,Miriam Makeba,5ème,Garçon,1.4375
6597,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,4,2,Les conversations en famille,2,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Deux,Un,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Autocar/bus,Vélo personnel,À pied,"Bus (dont microbus, Traverse, etc.)",,,C'est plus rapide,Vélo partagé (par exemple : Vélib),Hélène Boucher,2nde,Fille,3.22222222222222
7057,Non,plus de 50 livres,NSPRF,en partie chez l'un et chez l'autre,un,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,3,1,2,Les réseaux sociaux,NSPRF,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as toujours chez toi,Plus de deux,Un,France,Vacances avec ta famille,Train (RER/TER/TGV…),Voiture (personnelle / location / taxi),Tram,À pied,,,,Aucune de ces réponses ne te correspond,Métro / RER,Hélène Boucher,2nde,Fille,3.22222222222222
2514,Non,moins de 10 livres,2 fois,avec tes deux parents dans le même logement,trois,Non,NSPRF,NSPRF,2,2,2,Les réseaux sociaux,na,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Un potager,Tu n'as pas de téléphone,NSPRF,Aucun,,Séjour linguistique,Autocar/bus,Train (RER/TER/TGV...),,,,,,,Tu ne sais pas ou tu ne souhaites pas répondre,Henri Bergson,1ère,Fille,7.6153848266259
7723,Non,plus de 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,1,2,2,Les réseaux sociaux,2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",La réservation des repas à la cantine,Tu l'as toujours chez toi,NSPRF,Aucun,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Transport adapté aux personnes à mobilité réduite,"Bus (dont microbus, Traverse, etc.)",Trottinette,À pied,,Ça ne coûte pas cher,Vélo personnel,Hélène Boucher,1ère,Garçon,3.28571428571429
